BH;BP;BD;Categorie;Naam;Materiaal;Dikte - mm;Rd m2k;MG CO2 - stuk;MG CO2 - m2;Prijs/norm;Enh;Omschrijving;Duurzaam;Toepassing;Opmerking
34;33,465;465;Verwarming - Ketel;Intergas Kombi Kompakt HRE-A 28/24;Algemeen isolatiemateriaal;nvt;nvt;58,87;;€750;stuk;Intergas Kombi Kompakt HRE-A 28/24;0;Gasketel;
34;33,47;470;Verwarming - Ketel;Intergas Kombi Kompakt HRE-A 36/30;Algemeen isolatiemateriaal;nvt;nvt;50,75;;€820;stuk;;0;Gasketel;
34;33,475;475;Verwarming - Ketel;Nefit ProLine NxT HRC;Algemeen isolatiemateriaal;nvt;nvt;38,57;;€780;stuk;Nefit ProLine NxT HRC;0;Gasketel;
34;33,48;480;Verwarming - Ketel;Intergas KK HRE28/24A;Algemeen isolatiemateriaal;nvt;nvt;485,63;;€760;stuk;Intergas KK HRE28/24A;0;Gasketel;Referentiegetal gasketel onafhankelijk van type of vermogen, getal is inclusief vervangen jaar 15
34;33,46;460;Stadsverwarming;Stadsverwarming;Algemeen isolatiemateriaal;nvt;nvt;20,3;;€500;stuk;Stadsverwarming;0;Stadsverwarming;grove schatting
34;33,485;485;Zonne-energie;PV monokristallijn - 400 Wp;Algemeen isolatiemateriaal;nvt;nvt;396,18;;€220;stuk;PV monokristallijn;0;PV paneel < 400 Wp;
34;33,49;490;Zonne-energie;PV Solarge - 410 Wp;Algemeen isolatiemateriaal;nvt;nvt;279;;€180;stuk;PV standaard - 410 Wp;1;PV paneel > 400 Wp;
34;33,495;495;Zonne-energie;PV Solarge - 430 Wp;Algemeen isolatiemateriaal;nvt;nvt;269;;€170;stuk;PV Solarge - 430 Wp;1;PV paneel > 400 Wp;
34;33,5;500;Zonne-energie;PV Standaard - 410 Wp;Algemeen isolatiemateriaal;nvt;nvt;396,18;;€200;stuk;PV Solarge - 410 Wp;1;PV paneel < 400 Wp;
34;33,505;505;Zonne-energie;PV standaard - 380 Wp;Algemeen isolatiemateriaal;nvt;nvt;423,51;;€210;stuk;PV standaard -380 Wp;1;PV paneel > 400 Wp;
34;33,51;510;Zonne-energie;PV standaard - 410 Wp;Algemeen isolatiemateriaal;nvt;nvt;459,95;;€230;stuk;PV standaard - 410 Wp;1;PV paneel > 400 Wp;
